timestamp,datetime,value,cash
1562284800000,2019-07-05 00:00,10000.0,10000.0
1564531200000,2019-07-31 00:00,10000.0,10000.0
1566777600000,2019-08-26 00:00,10000.0,10000.0
1569024000000,2019-09-21 00:00,9560.0592237943,1000.0
1571270400000,2019-10-17 00:00,8849.156440871777,827.0354041308183
1573516800000,2019-11-12 00:00,8753.435456415864,827.0354041308183
1575763200000,2019-12-08 00:00,8189.769852284127,8189.769852284127
1578009600000,2020-01-03 00:00,8189.769852284127,8189.769852284127
1580256000000,2020-01-29 00:00,8902.474168695742,818.9769852284126
1582502400000,2020-02-24 00:00,9543.028403678414,9543.028403678414
1584748800000,2020-03-21 00:00,9543.028403678414,9543.028403678414
1586995200000,2020-04-16 00:00,9541.749326122903,954.3028403678418
1589241600000,2020-05-12 00:00,11545.917287911152,954.3028403678418
1591488000000,2020-06-07 00:00,12140.366591010286,954.3028403678418
1593734400000,2020-07-03 00:00,11813.819576135766,11813.819576135766
1595980800000,2020-07-29 00:00,11911.185178301323,1181.3819576135757
1598227200000,2020-08-24 00:00,12742.445870602969,1181.3819576135757
1600473600000,2020-09-19 00:00,12327.170157275013,12327.170157275013
1602720000000,2020-10-15 00:00,12327.170157275013,12327.170157275013
1604966400000,2020-11-10 00:00,12302.857064798704,1194.2097607893957
1607212800000,2020-12-06 00:00,14816.284073424062,1194.2097607893957
1609459200000,2021-01-01 00:00,21613.070841117802,1355.2784678295393
1611705600000,2021-01-27 00:00,27791.69751497072,1355.2784678295393
1613952000000,2021-02-22 00:00,192362.36491256792,1355.2784678295393
1616198400000,2021-03-20 00:00,170071.26607668717,18088.93142707777
1618444800000,2021-04-15 00:00,412252.919355714,15048.974689978204
1620691200000,2021-05-11 00:00,1089434.3946524854,15048.974689978204
1622937600000,2021-06-06 00:00,793951.4171065714,793951.4171065714
1625184000000,2021-07-02 00:00,793951.4171065714,793951.4171065714
1627430400000,2021-07-28 00:00,793951.4171065714,793951.4171065714
1629676800000,2021-08-23 00:00,946148.0686916793,79395.14171065716
1631923200000,2021-09-18 00:00,779090.6664183636,779090.6664183636
1634169600000,2021-10-14 00:00,719165.4630325533,77909.06664183631
1636416000000,2021-11-09 00:00,832523.0453622672,77909.06664183631
1638662400000,2021-12-05 00:00,729871.6867602508,729871.6867602508
1640908800000,2021-12-31 00:00,729871.6867602508,729871.6867602508
1643155200000,2022-01-26 00:00,673105.0386525157,673105.0386525157
1645401600000,2022-02-21 00:00,620057.4855791342,620057.4855791342
1647648000000,2022-03-19 00:00,620057.4855791342,620057.4855791342
1649894400000,2022-04-14 00:00,649542.7936666304,62005.74855791335
1652140800000,2022-05-10 00:00,544570.7548171978,544570.7548171978
1654387200000,2022-06-05 00:00,544570.7548171978,544570.7548171978
1656633600000,2022-07-01 00:00,544570.7548171978,544570.7548171978
1658880000000,2022-07-27 00:00,440006.00294522685,440006.00294522685
1661126400000,2022-08-22 00:00,435855.18018807814,44000.60029452265
1663372800000,2022-09-17 00:00,438178.69452306686,438178.69452306686
1665619200000,2022-10-13 00:00,404335.66023276775,404335.66023276775
1667865600000,2022-11-08 00:00,482354.9020637461,40433.56602327677
1670112000000,2022-12-04 00:00,510045.2310037842,47052.47324814391
1672358400000,2022-12-30 00:00,439461.2153573648,439461.2153573648
1674604800000,2023-01-25 00:00,448807.31483640824,43946.121535736485
1676851200000,2023-02-20 00:00,428352.2082746229,42854.49571309035
1679097600000,2023-03-18 00:00,415809.10210397065,415809.10210397065
1681344000000,2023-04-13 00:00,465883.1044075161,41580.910210397094
1683590400000,2023-05-09 00:00,424325.93937089207,424325.93937089207
1685836800000,2023-06-04 00:00,424325.93937089207,424325.93937089207
1688083200000,2023-06-30 00:00,424325.93937089207,424325.93937089207
1690329600000,2023-07-26 00:00,447340.0755613337,40834.943659186305
1692576000000,2023-08-21 00:00,391037.65423293586,391037.65423293586
1694822400000,2023-09-16 00:00,391037.65423293586,391037.65423293586
1697068800000,2023-10-12 00:00,391037.65423293586,391037.65423293586
1699315200000,2023-11-07 00:00,421957.55894853565,39103.765423293575
